#          k/h    axion          baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_axion        v_b            v_b-v_a     
   0.374776E-01   0.934154E+05   0.592869E+05   0.313475E+03   0.380363E+03   0.000000E+00   0.878067E+05   0.878067E+05   0.878169E+05   0.205466E+00   0.870754E+05   0.811933E+05   0.284122E+03
   0.413793E-01   0.849059E+05   0.527368E+05   0.351358E+03   0.283130E+03   0.000000E+00   0.796192E+05   0.796192E+05   0.796289E+05   0.186290E+00   0.789362E+05   0.736534E+05   0.231113E+03
   0.455172E-01   0.773747E+05   0.485498E+05   0.214340E+03   0.213986E+03   0.000000E+00   0.726376E+05   0.726376E+05   0.726440E+05   0.169943E+00   0.719426E+05   0.675037E+05   0.176542E+03
   0.496551E-01   0.712458E+05   0.464996E+05   0.167100E+03   0.166822E+03   0.000000E+00   0.671790E+05   0.671790E+05   0.671840E+05   0.157163E+00   0.664428E+05   0.629336E+05   0.127935E+03
   0.537931E-01   0.661733E+05   0.456393E+05   0.133576E+03   0.133353E+03   0.000000E+00   0.627987E+05   0.627987E+05   0.628027E+05   0.146909E+00   0.620093E+05   0.593867E+05   0.882576E+02
   0.579310E-01   0.618544E+05   0.451367E+05   0.108779E+03   0.108596E+03   0.000000E+00   0.591070E+05   0.591070E+05   0.591102E+05   0.138267E+00   0.582717E+05   0.563878E+05   0.588699E+02
   0.620689E-01   0.580662E+05   0.443874E+05   0.897252E+02   0.895740E+02   0.000000E+00   0.558182E+05   0.558182E+05   0.558209E+05   0.130571E+00   0.549615E+05   0.536015E+05   0.396667E+02
   0.662068E-01   0.546448E+05   0.430250E+05   0.746108E+02   0.744849E+02   0.000000E+00   0.527352E+05   0.527352E+05   0.527374E+05   0.123356E+00   0.518919E+05   0.508161E+05   0.294176E+02
   0.703448E-01   0.514428E+05   0.408834E+05   0.623029E+02   0.621977E+02   0.000000E+00   0.497074E+05   0.497074E+05   0.497093E+05   0.116272E+00   0.489114E+05   0.478955E+05   0.261438E+02
   0.744827E-01   0.484197E+05   0.380603E+05   0.521716E+02   0.520837E+02   0.000000E+00   0.467172E+05   0.467172E+05   0.467188E+05   0.109276E+00   0.459943E+05   0.448616E+05   0.275307E+02
   0.786206E-01   0.454722E+05   0.347080E+05   0.437135E+02   0.436402E+02   0.000000E+00   0.437032E+05   0.437032E+05   0.437045E+05   0.102225E+00   0.430697E+05   0.417130E+05   0.312379E+02
   0.827585E-01   0.426724E+05   0.312010E+05   0.367201E+02   0.366588E+02   0.000000E+00   0.407872E+05   0.407872E+05   0.407883E+05   0.954035E-01   0.402479E+05   0.386339E+05   0.353032E+02
   0.868965E-01   0.400466E+05   0.278636E+05   0.309802E+02   0.309287E+02   0.000000E+00   0.380445E+05   0.380445E+05   0.380454E+05   0.889876E-01   0.375913E+05   0.357541E+05   0.382755E+02
   0.930526E-01   0.365261E+05   0.237766E+05   0.243757E+02   0.243354E+02   0.000000E+00   0.344308E+05   0.344308E+05   0.344316E+05   0.805345E-01   0.340704E+05   0.320651E+05   0.390109E+02
   0.992087E-01   0.335659E+05   0.211899E+05   0.196248E+02   0.195925E+02   0.000000E+00   0.315320E+05   0.315320E+05   0.315326E+05   0.737533E-01   0.312129E+05   0.292902E+05   0.350825E+02
   0.105365E+00   0.311924E+05   0.200924E+05   0.162329E+02   0.162060E+02   0.000000E+00   0.293682E+05   0.293682E+05   0.293687E+05   0.686917E-01   0.290476E+05   0.274188E+05   0.279842E+02
   0.111521E+00   0.292897E+05   0.199753E+05   0.137425E+02   0.137196E+02   0.000000E+00   0.277590E+05   0.277590E+05   0.277594E+05   0.649272E-01   0.274125E+05   0.261758E+05   0.200746E+02
   0.117677E+00   0.276718E+05   0.201243E+05   0.117952E+02   0.117755E+02   0.000000E+00   0.264314E+05   0.264314E+05   0.264318E+05   0.618217E-01   0.260563E+05   0.251796E+05   0.134877E+02
   0.123833E+00   0.261914E+05   0.199513E+05   0.101672E+02   0.101501E+02   0.000000E+00   0.251659E+05   0.251659E+05   0.251662E+05   0.588615E-01   0.247792E+05   0.241336E+05   0.943699E+01
   0.129989E+00   0.247553E+05   0.191540E+05   0.874345E+01   0.872873E+01   0.000000E+00   0.238348E+05   0.238348E+05   0.238350E+05   0.557478E-01   0.234628E+05   0.228852E+05   0.804448E+01
   0.136145E+00   0.233110E+05   0.177347E+05   0.747872E+01   0.746617E+01   0.000000E+00   0.223946E+05   0.223946E+05   0.223948E+05   0.523791E-01   0.220597E+05   0.214144E+05   0.858041E+01
   0.142301E+00   0.218785E+05   0.159629E+05   0.637419E+01   0.636354E+01   0.000000E+00   0.209063E+05   0.209063E+05   0.209065E+05   0.488980E-01   0.206191E+05   0.198392E+05   0.992138E+01
   0.148457E+00   0.205250E+05   0.142264E+05   0.544422E+01   0.543517E+01   0.000000E+00   0.194899E+05   0.194899E+05   0.194901E+05   0.455852E-01   0.192482E+05   0.183448E+05   0.110167E+02
   0.154613E+00   0.193108E+05   0.128492E+05   0.469027E+01   0.468251E+01   0.000000E+00   0.182489E+05   0.182489E+05   0.182490E+05   0.426823E-01   0.180397E+05   0.170814E+05   0.112205E+02
   0.160770E+00   0.182647E+05   0.119863E+05   0.409492E+01   0.408814E+01   0.000000E+00   0.172329E+05   0.172329E+05   0.172330E+05   0.403060E-01   0.170384E+05   0.161150E+05   0.103980E+02
   0.166926E+00   0.173843E+05   0.116065E+05   0.362725E+01   0.362123E+01   0.000000E+00   0.164348E+05   0.164348E+05   0.164349E+05   0.384392E-01   0.162394E+05   0.154250E+05   0.883182E+01
   0.173082E+00   0.166413E+05   0.115384E+05   0.325138E+01   0.324596E+01   0.000000E+00   0.158027E+05   0.158027E+05   0.158028E+05   0.369608E-01   0.155982E+05   0.149274E+05   0.701653E+01
   0.179238E+00   0.159836E+05   0.115451E+05   0.293323E+01   0.292832E+01   0.000000E+00   0.152542E+05   0.152542E+05   0.152542E+05   0.356777E-01   0.150407E+05   0.145025E+05   0.543569E+01
   0.185394E+00   0.153571E+05   0.114195E+05   0.264779E+01   0.264335E+01   0.000000E+00   0.147100E+05   0.147100E+05   0.147101E+05   0.344049E-01   0.144939E+05   0.140436E+05   0.439751E+01
   0.191550E+00   0.147275E+05   0.110546E+05   0.238229E+01   0.237829E+01   0.000000E+00   0.141239E+05   0.141239E+05   0.141240E+05   0.330341E-01   0.139143E+05   0.134942E+05   0.397018E+01
   0.197706E+00   0.140862E+05   0.104594E+05   0.213420E+01   0.213063E+01   0.000000E+00   0.134901E+05   0.134901E+05   0.134902E+05   0.315518E-01   0.132950E+05   0.128566E+05   0.401456E+01
   0.203862E+00   0.134475E+05   0.973415E+04   0.190715E+01   0.190397E+01   0.000000E+00   0.128372E+05   0.128372E+05   0.128373E+05   0.300247E-01   0.126608E+05   0.121790E+05   0.427915E+01
   0.210018E+00   0.128351E+05   0.901428E+04   0.170592E+01   0.170308E+01   0.000000E+00   0.122072E+05   0.122072E+05   0.122072E+05   0.285510E-01   0.120491E+05   0.115259E+05   0.451004E+01
   0.216174E+00   0.122710E+05   0.841597E+04   0.153318E+01   0.153064E+01   0.000000E+00   0.116375E+05   0.116375E+05   0.116375E+05   0.272186E-01   0.114932E+05   0.109516E+05   0.453546E+01
   0.222330E+00   0.117685E+05   0.800050E+04   0.138825E+01   0.138595E+01   0.000000E+00   0.111493E+05   0.111493E+05   0.111493E+05   0.260767E-01   0.110126E+05   0.104842E+05   0.430249E+01
   0.228487E+00   0.113290E+05   0.776363E+04   0.126734E+01   0.126523E+01   0.000000E+00   0.107431E+05   0.107431E+05   0.107431E+05   0.251266E-01   0.106083E+05   0.101204E+05   0.386554E+01
   0.234643E+00   0.109417E+05   0.764745E+04   0.116473E+01   0.116279E+01   0.000000E+00   0.104003E+05   0.104003E+05   0.104004E+05   0.243250E-01   0.102642E+05   0.983094E+04   0.334238E+01
